/home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/bonus/main.py:16: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  batch = pickle.load(fo, encoding='bytes')
-- Gradient check (lam=0) --
  Layer 1 W: abs=2.78e-17 rel=4.22e-16
  Layer 1 b: abs=1.39e-17 rel=3.20e-16
  Layer 2 W: abs=2.22e-16 rel=1.44e-16
  Layer 2 b: abs=1.11e-16 rel=9.69e-17

-- Overfit sanity check (100 examples, lam=0) --
  step 3240/3600 | loss: 1.2578/1.4411 | acc: 0.5602/0.5018 | eta: 0.040006
  step 3420/3600 | loss: 1.2019/1.3874 | acc: 0.5836/0.5170 | eta: 0.020008
  lam=3.73e-05 | best val acc: 51.70% | final val acc: 51.70%

  lam=1.39e-04
  step    0/3600 | loss: 2.4711/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.7942/1.8254 | acc: 0.3698/0.3578 | eta: 0.020008
  step  360/3600 | loss: 1.6784/1.7265 | acc: 0.4122/0.3988 | eta: 0.040006
  step  540/3600 | loss: 1.6878/1.7546 | acc: 0.4109/0.3926 | eta: 0.060004
  step  720/3600 | loss: 1.6121/1.6748 | acc: 0.4295/0.4138 | eta: 0.080002
  step  900/3600 | loss: 1.6243/1.7037 | acc: 0.4350/0.4134 | eta: 0.100000
  step 1080/3600 | loss: 1.4738/1.5622 | acc: 0.4800/0.4468 | eta: 0.080002
  step 1260/3600 | loss: 1.3951/1.4881 | acc: 0.5131/0.4744 | eta: 0.060004
  step 1440/3600 | loss: 1.3607/1.4799 | acc: 0.5208/0.4822 | eta: 0.040006
  step 1620/3600 | loss: 1.3057/1.4287 | acc: 0.5451/0.4976 | eta: 0.020008
  step 1800/3600 | loss: 1.2827/1.4111 | acc: 0.5544/0.5060 | eta: 0.000010
  step 1980/3600 | loss: 1.2940/1.4251 | acc: 0.5471/0.4974 | eta: 0.020008
  step 2160/3600 | loss: 1.3116/1.4491 | acc: 0.5433/0.4872 | eta: 0.040006
  step 2340/3600 | loss: 1.3750/1.5107 | acc: 0.5155/0.4716 | eta: 0.060004
  step 2520/3600 | loss: 1.3499/1.5032 | acc: 0.5232/0.4752 | eta: 0.080002
  step 2700/3600 | loss: 1.4443/1.5800 | acc: 0.4915/0.4528 | eta: 0.100000
  step 2880/3600 | loss: 1.3672/1.5076 | acc: 0.5188/0.4744 | eta: 0.080002
  step 3060/3600 | loss: 1.2922/1.4626 | acc: 0.5427/0.4810 | eta: 0.060004
  step 3240/3600 | loss: 1.2450/1.4217 | acc: 0.5659/0.5062 | eta: 0.040006
  step 3420/3600 | loss: 1.2119/1.4079 | acc: 0.5761/0.5088 | eta: 0.020008
  lam=1.39e-04 | best val acc: 50.88% | final val acc: 50.88%

  lam=5.18e-04
  step    0/3600 | loss: 2.4711/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.7956/1.8166 | acc: 0.3699/0.3558 | eta: 0.020008
  step  360/3600 | loss: 1.6637/1.7132 | acc: 0.4175/0.4056 | eta: 0.040006
  step  540/3600 | loss: 1.6214/1.6889 | acc: 0.4300/0.4060 | eta: 0.060004
  step  720/3600 | loss: 1.6199/1.6752 | acc: 0.4330/0.4116 | eta: 0.080002
  step  900/3600 | loss: 1.5390/1.5921 | acc: 0.4547/0.4334 | eta: 0.100000
  step 1080/3600 | loss: 1.4682/1.5551 | acc: 0.4866/0.4618 | eta: 0.080002
  step 1260/3600 | loss: 1.4078/1.5051 | acc: 0.5058/0.4750 | eta: 0.060004
  step 1440/3600 | loss: 1.3632/1.4700 | acc: 0.5222/0.4804 | eta: 0.040006
  step 1620/3600 | loss: 1.3129/1.4214 | acc: 0.5425/0.5004 | eta: 0.020008
  step 1800/3600 | loss: 1.2912/1.4070 | acc: 0.5510/0.5080 | eta: 0.000010
  step 1980/3600 | loss: 1.3052/1.4271 | acc: 0.5467/0.5038 | eta: 0.020008
  step 2160/3600 | loss: 1.3243/1.4552 | acc: 0.5338/0.4916 | eta: 0.040006
  step 2340/3600 | loss: 1.3641/1.5021 | acc: 0.5232/0.4778 | eta: 0.060004
  step 2520/3600 | loss: 1.4018/1.5569 | acc: 0.5009/0.4552 | eta: 0.080002
  step 2700/3600 | loss: 1.4422/1.5542 | acc: 0.4948/0.4594 | eta: 0.100000
  step 2880/3600 | loss: 1.3410/1.4788 | acc: 0.5295/0.4826 | eta: 0.080002
  step 3060/3600 | loss: 1.2744/1.4216 | acc: 0.5538/0.5052 | eta: 0.060004
  step 3240/3600 | loss: 1.2710/1.4392 | acc: 0.5535/0.4944 | eta: 0.040006
  step 3420/3600 | loss: 1.2069/1.3858 | acc: 0.5794/0.5122 | eta: 0.020008
  lam=5.18e-04 | best val acc: 51.22% | final val acc: 51.22%

  lam=1.93e-03
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8008/1.8341 | acc: 0.3681/0.3598 | eta: 0.020008
  step  360/3600 | loss: 1.6611/1.7136 | acc: 0.4179/0.4056 | eta: 0.040006
  step  540/3600 | loss: 1.6188/1.6783 | acc: 0.4249/0.4082 | eta: 0.060004
  step  720/3600 | loss: 1.5610/1.6150 | acc: 0.4495/0.4314 | eta: 0.080002
  step  900/3600 | loss: 1.5273/1.5869 | acc: 0.4621/0.4454 | eta: 0.100000
  step 1080/3600 | loss: 1.5141/1.5979 | acc: 0.4657/0.4348 | eta: 0.080002
  step 1260/3600 | loss: 1.4443/1.5199 | acc: 0.4910/0.4622 | eta: 0.060004
  step 1440/3600 | loss: 1.3823/1.4675 | acc: 0.5175/0.4860 | eta: 0.040006
  step 1620/3600 | loss: 1.3322/1.4333 | acc: 0.5357/0.4970 | eta: 0.020008
  step 1800/3600 | loss: 1.3045/1.4080 | acc: 0.5475/0.5080 | eta: 0.000010
  step 1980/3600 | loss: 1.3108/1.4182 | acc: 0.5436/0.5030 | eta: 0.020008
  step 2160/3600 | loss: 1.3377/1.4518 | acc: 0.5331/0.4918 | eta: 0.040006
  step 2340/3600 | loss: 1.3955/1.5252 | acc: 0.5054/0.4608 | eta: 0.060004
  step 2520/3600 | loss: 1.4617/1.5694 | acc: 0.4920/0.4504 | eta: 0.080002
  step 2700/3600 | loss: 1.5544/1.6651 | acc: 0.4538/0.4148 | eta: 0.100000
  step 2880/3600 | loss: 1.4010/1.5235 | acc: 0.5078/0.4660 | eta: 0.080002
  step 3060/3600 | loss: 1.3364/1.4773 | acc: 0.5301/0.4844 | eta: 0.060004
  step 3240/3600 | loss: 1.2984/1.4317 | acc: 0.5461/0.4978 | eta: 0.040006
  step 3420/3600 | loss: 1.2434/1.3882 | acc: 0.5686/0.5104 | eta: 0.020008
  lam=1.93e-03 | best val acc: 51.04% | final val acc: 51.04%

  lam=7.20e-03
  step    0/3600 | loss: 2.4711/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8081/1.8302 | acc: 0.3594/0.3466 | eta: 0.020008
