/home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/src/main.py:11: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  batch = pickle.load(fo, encoding='bytes')
-- Gradient check (lam=0) --
  Layer 1 W: abs=2.78e-17 rel=4.22e-16
  Layer 1 b: abs=1.39e-17 rel=3.20e-16
  Layer 2 W: abs=2.22e-16 rel=1.44e-16
  Layer 2 b: abs=1.11e-16 rel=9.69e-17

-- Overfit sanity check (100 examples, lam=0) --
  step 2520/3600 | loss: 1.3676/1.5092 | acc: 0.5173/0.4734 | eta: 0.080002
  step 2700/3600 | loss: 1.5070/1.6336 | acc: 0.4676/0.4346 | eta: 0.100000
  step 2880/3600 | loss: 1.4129/1.5636 | acc: 0.5066/0.4566 | eta: 0.080002
  step 3060/3600 | loss: 1.3213/1.4830 | acc: 0.5343/0.4750 | eta: 0.060004
  step 3240/3600 | loss: 1.2567/1.4356 | acc: 0.5613/0.4984 | eta: 0.040006
  step 3420/3600 | loss: 1.2084/1.4087 | acc: 0.5820/0.4988 | eta: 0.020008
  lam=1.00e-05 | best val acc: 50.56% | final val acc: 49.88%

  lam=3.73e-05
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.7925/1.8211 | acc: 0.3723/0.3582 | eta: 0.020008
  step  360/3600 | loss: 1.7217/1.7672 | acc: 0.3948/0.3728 | eta: 0.040006
  step  540/3600 | loss: 1.5988/1.6607 | acc: 0.4412/0.4236 | eta: 0.060004
  step  720/3600 | loss: 1.5854/1.6370 | acc: 0.4378/0.4230 | eta: 0.080002
  step  900/3600 | loss: 1.5213/1.5865 | acc: 0.4627/0.4334 | eta: 0.100000
  step 1080/3600 | loss: 1.4918/1.5647 | acc: 0.4746/0.4490 | eta: 0.080002
  step 1260/3600 | loss: 1.3956/1.4771 | acc: 0.5080/0.4788 | eta: 0.060004
  step 1440/3600 | loss: 1.3576/1.4604 | acc: 0.5256/0.4884 | eta: 0.040006
  step 1620/3600 | loss: 1.3168/1.4338 | acc: 0.5380/0.4968 | eta: 0.020008
  step 1800/3600 | loss: 1.2903/1.4134 | acc: 0.5512/0.4996 | eta: 0.000010
  step 1980/3600 | loss: 1.3006/1.4313 | acc: 0.5462/0.4978 | eta: 0.020008
  step 2160/3600 | loss: 1.3776/1.5190 | acc: 0.5183/0.4698 | eta: 0.040006
  step 2340/3600 | loss: 1.4263/1.5534 | acc: 0.5043/0.4722 | eta: 0.060004
  step 2520/3600 | loss: 1.3730/1.5108 | acc: 0.5165/0.4686 | eta: 0.080002
  step 2700/3600 | loss: 1.4429/1.5662 | acc: 0.4943/0.4554 | eta: 0.100000
  step 2880/3600 | loss: 1.4102/1.5719 | acc: 0.5044/0.4484 | eta: 0.080002
  step 3060/3600 | loss: 1.3018/1.4657 | acc: 0.5438/0.4844 | eta: 0.060004
  step 3240/3600 | loss: 1.2459/1.4261 | acc: 0.5658/0.5012 | eta: 0.040006
  step 3420/3600 | loss: 1.2158/1.3963 | acc: 0.5739/0.5080 | eta: 0.020008
  lam=3.73e-05 | best val acc: 50.80% | final val acc: 50.80%

  lam=1.39e-04
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8205/1.8559 | acc: 0.3522/0.3364 | eta: 0.020008
  step  360/3600 | loss: 1.6611/1.7094 | acc: 0.4198/0.4004 | eta: 0.040006
  step  540/3600 | loss: 1.6199/1.6859 | acc: 0.4276/0.4076 | eta: 0.060004
  step  720/3600 | loss: 1.5971/1.6452 | acc: 0.4324/0.4204 | eta: 0.080002
  step  900/3600 | loss: 1.6114/1.6661 | acc: 0.4239/0.4086 | eta: 0.100000
  step 1080/3600 | loss: 1.4874/1.5558 | acc: 0.4783/0.4588 | eta: 0.080002
  step 1260/3600 | loss: 1.4069/1.4969 | acc: 0.5052/0.4778 | eta: 0.060004
  step 1440/3600 | loss: 1.3653/1.4678 | acc: 0.5276/0.4962 | eta: 0.040006
  step 1620/3600 | loss: 1.3174/1.4276 | acc: 0.5403/0.5014 | eta: 0.020008
  step 1800/3600 | loss: 1.2862/1.4005 | acc: 0.5533/0.5110 | eta: 0.000010
  step 1980/3600 | loss: 1.3005/1.4183 | acc: 0.5480/0.5048 | eta: 0.020008
  step 2160/3600 | loss: 1.3303/1.4620 | acc: 0.5372/0.4904 | eta: 0.040006
  step 2340/3600 | loss: 1.3718/1.5091 | acc: 0.5193/0.4808 | eta: 0.060004
  step 2520/3600 | loss: 1.4508/1.5888 | acc: 0.4899/0.4576 | eta: 0.080002
  step 2700/3600 | loss: 1.4660/1.5848 | acc: 0.4898/0.4534 | eta: 0.100000
  step 2880/3600 | loss: 1.4583/1.5935 | acc: 0.4841/0.4502 | eta: 0.080002
  step 3060/3600 | loss: 1.2863/1.4415 | acc: 0.5505/0.4862 | eta: 0.060004
  step 3240/3600 | loss: 1.2471/1.4047 | acc: 0.5650/0.5004 | eta: 0.040006
  step 3420/3600 | loss: 1.2080/1.3950 | acc: 0.5794/0.5096 | eta: 0.020008
  lam=1.39e-04 | best val acc: 51.10% | final val acc: 50.96%

  lam=5.18e-04
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.7970/1.8227 | acc: 0.3623/0.3558 | eta: 0.020008
  step  360/3600 | loss: 1.7055/1.7438 | acc: 0.4040/0.3906 | eta: 0.040006
  step  540/3600 | loss: 1.6531/1.7141 | acc: 0.4176/0.3894 | eta: 0.060004
  step  720/3600 | loss: 1.6201/1.6868 | acc: 0.4284/0.4124 | eta: 0.080002
  step  900/3600 | loss: 1.5884/1.6219 | acc: 0.4408/0.4382 | eta: 0.100000
  step 1080/3600 | loss: 1.4627/1.5497 | acc: 0.4847/0.4524 | eta: 0.080002
  step 1260/3600 | loss: 1.4254/1.5191 | acc: 0.4994/0.4624 | eta: 0.060004
  step 1440/3600 | loss: 1.3665/1.4683 | acc: 0.5216/0.4776 | eta: 0.040006
  step 1620/3600 | loss: 1.3177/1.4257 | acc: 0.5403/0.4980 | eta: 0.020008
  step 1800/3600 | loss: 1.2892/1.4080 | acc: 0.5507/0.5102 | eta: 0.000010
  step 1980/3600 | loss: 1.3020/1.4228 | acc: 0.5439/0.4976 | eta: 0.020008
  step 2160/3600 | loss: 1.3140/1.4269 | acc: 0.5405/0.5016 | eta: 0.040006
  step 2340/3600 | loss: 1.3658/1.4895 | acc: 0.5198/0.4824 | eta: 0.060004
  step 2520/3600 | loss: 1.3874/1.5213 | acc: 0.5098/0.4620 | eta: 0.080002
  step 2700/3600 | loss: 1.6533/1.7954 | acc: 0.4319/0.3968 | eta: 0.100000
  step 2880/3600 | loss: 1.3511/1.4936 | acc: 0.5220/0.4692 | eta: 0.080002
  step 3060/3600 | loss: 1.2967/1.4376 | acc: 0.5438/0.4952 | eta: 0.060004
  step 3240/3600 | loss: 1.2605/1.4312 | acc: 0.5582/0.4912 | eta: 0.040006
  step 3420/3600 | loss: 1.2117/1.3861 | acc: 0.5781/0.5124 | eta: 0.020008
  lam=5.18e-04 | best val acc: 51.24% | final val acc: 51.24%

  lam=1.93e-03
  step    0/3600 | loss: 2.4711/2.4714 | acc: 0.0949/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.7963/1.8156 | acc: 0.3698/0.3596 | eta: 0.020008
  step  360/3600 | loss: 1.7016/1.7688 | acc: 0.4038/0.3828 | eta: 0.040006
  step  540/3600 | loss: 1.6106/1.6640 | acc: 0.4338/0.4214 | eta: 0.060004
  step  720/3600 | loss: 1.6060/1.6693 | acc: 0.4315/0.4102 | eta: 0.080002
  step  900/3600 | loss: 1.6389/1.6947 | acc: 0.4190/0.3982 | eta: 0.100000
  step 1080/3600 | loss: 1.4873/1.5594 | acc: 0.4755/0.4448 | eta: 0.080002
  step 1260/3600 | loss: 1.4259/1.5017 | acc: 0.4978/0.4702 | eta: 0.060004
  step 1440/3600 | loss: 1.3545/1.4470 | acc: 0.5276/0.4884 | eta: 0.040006
  step 1620/3600 | loss: 1.3283/1.4251 | acc: 0.5389/0.5000 | eta: 0.020008
  step 1800/3600 | loss: 1.3019/1.3993 | acc: 0.5481/0.5104 | eta: 0.000010
  step 1980/3600 | loss: 1.3175/1.4202 | acc: 0.5428/0.5000 | eta: 0.020008
  step 2160/3600 | loss: 1.3522/1.4583 | acc: 0.5232/0.4806 | eta: 0.040006
  step 2340/3600 | loss: 1.3730/1.4915 | acc: 0.5166/0.4746 | eta: 0.060004
  step 2520/3600 | loss: 1.4531/1.5608 | acc: 0.4895/0.4512 | eta: 0.080002
  step 2700/3600 | loss: 1.5010/1.6093 | acc: 0.4724/0.4452 | eta: 0.100000
  step 2880/3600 | loss: 1.3679/1.4721 | acc: 0.5208/0.4702 | eta: 0.080002
  step 3060/3600 | loss: 1.3283/1.4423 | acc: 0.5344/0.4896 | eta: 0.060004
  step 3240/3600 | loss: 1.2751/1.4065 | acc: 0.5566/0.5128 | eta: 0.040006
  step 3420/3600 | loss: 1.2377/1.3841 | acc: 0.5716/0.5190 | eta: 0.020008
  lam=1.93e-03 | best val acc: 51.90% | final val acc: 51.90%

  lam=7.20e-03
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.7943/1.8220 | acc: 0.3715/0.3526 | eta: 0.020008
  step  360/3600 | loss: 1.6717/1.7102 | acc: 0.4164/0.4070 | eta: 0.040006
  step  540/3600 | loss: 1.6701/1.7274 | acc: 0.4085/0.3902 | eta: 0.060004
  step  720/3600 | loss: 1.5749/1.6184 | acc: 0.4478/0.4282 | eta: 0.080002
  step  900/3600 | loss: 1.5923/1.6398 | acc: 0.4409/0.4200 | eta: 0.100000
  step 1080/3600 | loss: 1.5208/1.5640 | acc: 0.4641/0.4472 | eta: 0.080002
  step 1260/3600 | loss: 1.5236/1.5791 | acc: 0.4616/0.4424 | eta: 0.060004
  step 1440/3600 | loss: 1.4232/1.4785 | acc: 0.5028/0.4768 | eta: 0.040006
  step 1620/3600 | loss: 1.3823/1.4537 | acc: 0.5231/0.4942 | eta: 0.020008
  step 1800/3600 | loss: 1.3599/1.4338 | acc: 0.5313/0.5042 | eta: 0.000010
  step 1980/3600 | loss: 1.3674/1.4392 | acc: 0.5246/0.4998 | eta: 0.020008
  step 2160/3600 | loss: 1.3911/1.4608 | acc: 0.5148/0.4840 | eta: 0.040006
  step 2340/3600 | loss: 1.4194/1.4847 | acc: 0.4984/0.4744 | eta: 0.060004
  step 2520/3600 | loss: 1.5566/1.6193 | acc: 0.4562/0.4304 | eta: 0.080002
  step 2700/3600 | loss: 1.4825/1.5545 | acc: 0.4770/0.4540 | eta: 0.100000
  step 2880/3600 | loss: 1.4806/1.5502 | acc: 0.4731/0.4490 | eta: 0.080002
